subj_idx,T_round,actual_dist,actual_R,actual_req,is_heavy,mean_rate,n_trials
11,0.9,1,1.0,0.4,0,0.9290601048785876,4
11,0.9,1,5.0,0.9,1,1.0100113429008235,1
11,0.9,2,1.0,0.4,0,0.9257425047703274,5
11,0.9,3,1.0,0.4,0,0.911701732027248,5
12,0.1,1,5.0,0.9,1,1.01399576588093,5
12,0.1,2,5.0,0.9,1,0.9808938708129268,5
12,0.1,3,5.0,0.9,1,0.9484018103342476,5
12,0.5,1,1.0,0.4,0,1.0034833918454198,4
12,0.5,1,5.0,0.9,1,1.2093612131251243,1
12,0.5,2,1.0,0.4,0,0.9462568877640706,3
12,0.5,2,5.0,0.9,1,1.0206584908152851,2
12,0.5,3,1.0,0.4,0,0.9469411408669994,4
12,0.5,3,5.0,0.9,1,1.005054718555234,1
12,0.9,1,1.0,0.4,0,0.9419799883685206,3
12,0.9,1,5.0,0.9,1,1.0470713047484717,2
12,0.9,2,1.0,0.4,0,0.9653835234513716,3
12,0.9,2,5.0,0.9,1,0.9104049722807,2
12,0.9,3,1.0,0.4,0,1.0116690977508824,4
12,0.9,3,5.0,0.9,1,0.9004390207694086,1
13,0.1,1,5.0,0.9,1,1.4425095601211595,5
13,0.1,2,5.0,0.9,1,1.445752525352061,5
13,0.1,3,5.0,0.9,1,1.4626664781047558,5
13,0.5,1,1.0,0.4,0,1.48003613369467,1
13,0.5,1,5.0,0.9,1,1.4103314918518028,4
13,0.5,2,1.0,0.4,0,1.432555457593965,1
13,0.5,2,5.0,0.9,1,1.459603305560068,4
13,0.5,3,1.0,0.4,0,1.3927884037123155,4
13,0.5,3,5.0,0.9,1,1.5323850454089822,1
13,0.9,1,1.0,0.4,0,1.4619095239792532,5
13,0.9,2,1.0,0.4,0,1.4425091507884895,5
13,0.9,3,1.0,0.4,0,1.479640199344706,5
14,0.1,1,1.0,0.4,0,1.0582992889076572,3
14,0.1,1,5.0,0.9,1,1.1159321740389618,2
14,0.1,2,1.0,0.4,0,1.1114177302256725,4
14,0.1,2,5.0,0.9,1,1.024160025003907,1
14,0.1,3,1.0,0.4,0,1.0842789354406257,4
14,0.1,3,5.0,0.9,1,1.2079923320799233,1
14,0.5,1,1.0,0.4,0,1.069916801633391,2
14,0.5,1,5.0,0.9,1,1.1799739366700397,3
14,0.5,2,1.0,0.4,0,1.1380685136157185,4
14,0.5,2,5.0,0.9,1,1.1110434018711424,1
14,0.5,3,1.0,0.4,0,1.101366303566786,5
14,0.9,1,1.0,0.4,0,1.1802740062663948,4
14,0.9,1,5.0,0.9,1,1.1168370824812544,1
14,0.9,2,1.0,0.4,0,1.1810083644420488,5
14,0.9,3,1.0,0.4,0,1.1526186484781245,5
15,0.1,1,1.0,0.4,0,0.6466130182935153,5
15,0.1,2,1.0,0.4,0,0.6752838720844394,4
15,0.1,2,5.0,0.9,1,0.9076782769455471,1
15,0.1,3,1.0,0.4,0,0.7642828767588745,5
15,0.5,1,1.0,0.4,0,0.7911441194487343,5
15,0.5,2,1.0,0.4,0,0.7083769631792048,5
15,0.5,3,1.0,0.4,0,0.8637240034995377,5
15,0.9,1,1.0,0.4,0,0.8659240522412384,5
15,0.9,2,1.0,0.4,0,0.8709078246355936,4
15,0.9,2,5.0,0.9,1,1.245066193116322,1
15,0.9,3,1.0,0.4,0,0.7822667685880114,5
16,0.1,1,5.0,0.9,1,0.8054299905005085,5
16,0.1,2,5.0,0.9,1,0.8875904722293244,5
16,0.1,3,1.0,0.4,0,0.619046169839327,4
16,0.1,3,5.0,0.9,1,0.9258066338927502,1
16,0.5,1,5.0,0.9,1,0.87800153650998,5
16,0.5,2,1.0,0.4,0,0.7858550653089772,3
16,0.5,2,5.0,0.9,1,0.8749816219041675,2
16,0.5,3,1.0,0.4,0,0.8045981726452641,5
16,0.9,1,1.0,0.4,0,0.9058060120840504,5
16,0.9,2,1.0,0.4,0,0.9395673669667456,5
16,0.9,3,1.0,0.4,0,0.9215600117716232,5
17,0.1,1,5.0,0.9,1,1.0507358364552222,5
17,0.1,2,5.0,0.9,1,0.9947397174887712,5
17,0.1,3,1.0,0.4,0,0.991527475187606,1
17,0.1,3,5.0,0.9,1,0.9926111099134756,4
