subj,lam,beta
121,0.33540299713885074,1.3021636214178762
122,0.04945895350543812,4.871491817409985
123,0.3222973706112077,0.6385756896701832
124,5.242281120432572,2.5129582682516287
125,0.1858081490317101,2.037482590563855
126,0.2251415287625995,1.9432570700872143
127,0.3633500460928641,1.1266861591154513
128,0.32683957011307035,0.939933608593833
129,0.17440412896660312,5.050979517492309
130,0.017626040605876383,3.144458416725877
131,0.06834640197318534,1.7516549410520852
132,0.10499868017669454,1.5657755625679661
133,0.07450696748236055,1.498635804274368
134,2.483363423607172,0.5306675384037715
135,0.10987677280673944,2.876834206241487
136,0.058296988392534964,5.088946282477225
137,0.053560183428826666,3.8640997482909274
138,0.19368226624272888,1.0999871263508043
139,1.129625966941388,0.5212024196690089
140,0.17548193758561192,0.800162725315619
141,0.6315807780803949,1.7433933071686496
142,0.13881491730124101,1.3128377404845915
143,0.24899777612334778,2.3472306912576055
144,0.1927290021655156,0.9045716092392928
145,0.016495205890578027,2.7557194671659677
146,1.9364846125676471,0.6934029612684247
147,0.3851795148069275,0.7471768220057007
148,0.2978640770129975,0.9318577742075306
149,0.10807464486176917,3.617328088691709
150,0.037797137572606665,1.257040616099477
151,0.12487042121535946,1.5251390396725086
152,0.518703760993638,0.8715772844801467
153,2.4185050855162573,0.6593579637452209
155,0.09254827219834262,1.9463069856218944
156,0.24059613317457898,2.268601509888575
157,0.11251000365314942,1.4950193256921833
158,0.0357314293570393,1.4187506027526018
159,0.28134345262958105,1.0026188799824478
160,0.24460337592731157,0.5626792828982993
161,0.1950388682326047,0.8500595028793734
162,0.04773997507987668,0.9979466483284187
163,0.6562355713281973,0.7080940078211698
164,0.13648495576356542,1.1771096108396446
165,0.04090506234740701,3.1404534644589415
166,0.5925614603853446,1.0734850360938244
167,0.21084665738711764,2.3792128385357767
168,0.17282269333304395,3.118160130554155
169,0.10692795845051824,0.981638387818535
170,0.38569184609661056,0.5987838840199003
171,0.027960063184992414,2.723033526295773
172,0.15127073596103519,5.831134449988729
173,0.10181326035337507,4.772101425313154
174,0.10025281956589,1.7943052798301318
175,0.3985579599727123,0.7194153105188041
176,0.0760158785253632,1.0150841182836507
177,0.06982141859899203,1.5533663080029863
178,0.058122320207045025,0.7031912965772646
179,0.25354538217396266,0.8653829663011265
180,0.04081854101044051,3.733442345770851
181,0.12586015785384408,1.705022668606346
182,0.2519071564140638,3.1479304262794483
183,0.14887195807737355,2.5037299262525248
184,2.7372145991212933,0.5484298866790865
185,0.1373127306867791,3.243346925719247
186,0.8903715782351577,0.6434661165966132
187,0.2236029228308203,2.3427426028242153
188,2.7720993340976317,0.9527695161734971
189,0.8042715852793835,0.7586995813894152
190,0.07984637605658015,3.0239028988114547
191,0.3501626967575992,2.4847765756787292
192,0.17914326423501956,1.074834095379002
193,0.18083391171814725,0.6472138369910587
194,0.21993348884440667,0.5926965219435748
195,0.24061242147221143,1.0616748071559095
196,0.051799083136607915,3.82836691507051
198,0.11840594505489709,1.3567698530181844
199,0.7115260328234092,1.1600321950407018
200,0.07144616537381106,0.8935326713753179
201,0.1257197499591635,1.0559299986886064
202,0.253098889631621,1.0475617350510928
203,0.4254539717722695,0.787848949237899
204,0.05704813444533345,3.8982828276142936
205,0.09171800584466837,3.9729708140621716
206,2.3946535898187666,0.6368072214445862
207,0.6623287332619741,1.3659119536859439
209,0.3713292229206931,0.4327399495197141
210,0.14348817778154285,0.44064375651558696
211,0.050757363619350286,3.819756597622826
212,0.023076889140071798,3.527348954658793
213,0.34027911588059906,0.6981036689633348
214,0.032574302814689156,3.9010025814280724
215,0.3683536571527189,2.2043723771573096
216,0.3133830975129211,2.2706181955282387
217,0.13204955413139446,1.0158601051350644
218,0.031196899562468083,3.626674713225405
219,0.2245177316634233,1.0562677745930615
220,0.21686069086149562,3.6803788495958822
221,0.26352759357657773,1.0197695826127815
222,0.24214567389048297,3.71745436157447
223,0.08840777474796123,0.7375496150004733
224,0.0339786424210804,0.9028085990916073
225,0.04329048384232677,3.325071661124622
226,2.8730833629526824,0.5647423742396489
227,0.12530454403344804,0.531594411281804
228,0.23838101396399033,1.3370806947843294
229,0.03093113221645224,3.8738710621013506
230,0.2893985341892556,1.1931094502479909
231,0.06799514029992712,1.8782939120320874
232,0.2408942113831728,0.795327072849272
233,0.09196088213473294,7.110301521948719
234,0.41675301934319137,1.2479593903520239
235,0.09118936405030421,0.8940554016811169
236,0.17463826064692647,1.9765259069563097
237,0.14483724002309997,0.8792671406263953
238,0.015014633088334593,2.6966727934921653
239,0.16599320243793975,0.5694322672360757
240,0.7351060815295015,0.45470434905469076
241,0.11008674052655064,2.8919235077196555
242,0.10338583683839195,3.7617028018061824
